id_transferencia,cantidad,motivo,cuenta_receptora,banco_receptor,fecha_movimiento,id_cuenta
10588820842,8051.3,Gasto Medico,00006397559924766593,MONEXCB,2023-06-02,960
9058341438,7395.24,Abono,00005914261797251707,NU MEXICO,2024-11-02,1009
3152456355,7016.31,Deposito,00007945366211572353,ABC CAPITAL,2022-02-04,271
10134032906,3078.67,Prestamo,00003752340606579049,ALTERNATIVOS,2023-02-01,756
5722196157,589.9,Pago,00008376146235093266,NAFIN,2022-01-04,81
5212637225,7436.76,Pago,000010653862101491084,002,2024-10-04,472
1525336951,6102.16,Pago,00006539126907979568,INVEX,2023-03-01,1033
7761155903,7839.24,Gasto Escolar,00009017949752035704,Invex,2023-06-01,1032
6311150954,4851.1,Abono,00008329131757703818,COMPARTAMOS,2022-04-01,590
9363762049,4299.43,Gasto,00008056421819681400,TRANSFER,2023-04-05,987
8137228122,3499.76,Donacion,00005577271021879505,NAFIN,2024-09-05,234
5069350885,6948.05,Gasto Medico,000010996800206895240,INBURSA,2024-10-01,305
5471275988,8599.76,Gasto Escolar,00006930190218940288,NU MEXICO,2024-01-05,30
1398164751,7587.07,Deposito,00009572081172839328,BBVA MEXICO,2023-01-01,1107
6744130895,7487.06,Prestamo,00008762432337892251,AZTECA,2023-05-01,1155
2659141427,115.58,Abono,00008092772708320143,CONSUBANCO,2023-01-01,348
9883704133,2217.9,Pago,00001675876606410475,Mifel,2023-05-01,1087
7067527717,7266.2,Gasto Medico,00009863261093390852,Nafin,2024-02-04,497
5199648118,325.02,Deposito,00009632863535053564,ARCUS,2024-01-01,903
3478837787,3798.31,Gasto,00008584966712287000,LIBERTAD,2022-08-01,1031
1534921071,4046.37,Gasto Escolar,00005354886881756968,MERCADO PAGO W,2024-09-04,782
6983145528,2891.88,Deposito,00008572786508708649,BBVA MEXICO,2024-05-01,852
9205871257,5770.51,Deposito,00003220475079153847,SCOTIABANK,2024-07-06,590
7372595670,1508.8,Prestamo,00005365565115119445,Invex,2022-05-03,819
4825081771,4929.29,Gasto Escolar,00002507743480136265,MIFEL,2022-06-06,957
5727509992,8002.94,Gasto Escolar,000011052152695091284,BANCOPPEL,2023-08-01,491
7106762512,1417.92,Gasto,000010969085425972664,DONDE,2024-06-05,273
8626609811,8951.04,Donacion,00002187894767828441,Santander,2022-09-06,290
9606918055,8266.12,Gasto,00002434055174189051,SCOTIABANK,2024-10-05,505
2746786243,1748.03,Gasto Medico,00001701081588539893,BANAMEX,2023-08-03,270
5213354821,734.39,Abono,00004555969512423376,MONEXCB,2023-01-06,782
9078414923,9918.58,Donacion,00004315564844600838,SANTANDER,2022-02-04,542
4808334011,6626.32,Gasto Escolar,00006067032679088815,AUTOFIN,2023-06-02,128
6770973969,4717.51,Gasto Escolar,00001146221934055519,KLAR,2022-08-05,960
5455414089,9477.14,Gasto Medico,00001877500398452808,AZTECA,2022-10-01,376
2048160993,7296.37,Prestamo,00005783460644072522,AZTECA,2022-05-03,468
10264253838,9733.36,Gasto Escolar,00008576608355787291,INVEX,2025-01-03,274
2277612905,9395.65,Gasto Medico,00007643512655766457,ASP INTEGRA OPC,2025-01-02,1025
10361754605,76.13,Donacion,00002461405296072509,Invex,2024-03-04,494
10259534997,9673.07,Donacion,00001866774347563091,CAJA POP MEXICA,2022-04-02,326
3945349407,3369.3,Gasto Medico,00002220483151477756,Invex,2023-04-05,986
2352211770,4995.95,Abono,00004999627060571900,AUTOFIN,2022-11-02,1107
4542546212,988.72,Prestamo,00008830775476539056,DONDE,2022-04-05,788
8323437308,5881.26,Donacion,00008118917669504084,NU MEXICO,2022-01-03,759
7166412798,234.98,Abono,00009731365170894168,ALTERNATIVOS,2024-07-06,591
7629079771,4093.91,Gasto Medico,00002464275694391701,002,2023-01-03,563
6920820953,1031.65,Pago,000010761481043258912,MONEXCB,2022-06-05,1121
3584656888,7388.56,Donacion,00003913036786716985,Santander,2024-10-05,607
9685803400,2790.91,Gasto Medico,00003012003132046176,INVEX,2023-02-05,829
2496050346,7731.27,Abono,00009334809726128340,KLAR,2024-10-04,472
6669269778,6712.58,Pago,00009859385361539208,BAJIO,2023-04-01,926
5396670314,5144.92,Gasto Medico,00006281866172853318,INVEX,2024-06-06,928
1411776760,6618.41,Prestamo,000010010378007221708,KLAR,2024-10-06,610
10878719364,2999.97,Gasto Escolar,00006140096380994786,COMPARTAMOS,2023-04-05,863
2367930068,6492.86,Abono,00002249257743909977,MERCADO PAGO W,2022-10-01,261
8833276357,3430.24,Prestamo,00004991885443023004,STP,2024-01-01,938
8340809935,111.93,Deposito,00004000374242444619,DONDE,2023-03-04,1029
10666358519,1932.39,Gasto,00007402172197760001,SCOTIABANK,2023-07-02,733
1626444376,6808.17,Gasto Medico,00006123272407618926,CONSUBANCO,2022-02-02,1107
10697026069,5877.62,Deposito,00002337538815039301,Mifel,2023-05-05,389
2500081583,4439.51,Abono,00003821018997656073,GBM,2023-10-05,627
6720091723,4833.08,Abono,00007843816800291998,BANAMEX,2023-04-05,542
7940937377,265.73,Gasto Medico,00003186274151228937,DONDE,2023-01-02,912
7957108427,8298.02,Deposito,00001720240075293086,BABIEN,2022-02-03,462
2714824789,9369.84,Donacion,00008740596976043186,BABIEN,2023-10-04,359
2945691417,3201.5,Gasto Escolar,00008562296049845661,SCOTIABANK,2024-01-01,855
